BehaviorSpace results (NetLogo 5.3.1),,,,,,,,,,,,,,,,,,,,,,,
main.nlogo,,,,,,,,,,,,,,,,,,,,,,,
modelo-3,,,,,,,,,,,,,,,,,,,,,,,
11/12/2016 22:31:54:362 +0000,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-18,18,-18,18,,,,,,,,,,,,,,,,,,,,
[run number],nTicks,taxa_bonus,taxa_alimentos,energia_alimentos,energia_inicial_ags,qnt_ag_sociais,qnt_ag_solitarios,SempAvanc?,ComLider?,Agrupar?,taxa_perda_ganho,SeguirLider?,alcance_ags,[step],count solitarios,count sociais,count lideres,nSolMortos,nSocMortos,nLidMortos,(tmp_vida_solitarios / (qnt_ag_solitarios - nSol2Soc)),(tmp_vida_sociais / (qnt_ag_sociais + nLid2Soc + nSol2Soc - nSoc2Lid)),(tmp_vida_lideres / nSoc2Lid)
41,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",500,1,1,0,64,65,1,"99,7255370513","86,7575757576",186
42,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",350,0,0,0,66,65,1,"95,2272727273","99,7230769231",207
43,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",364,0,0,0,64,65,3,"100,03125","86,0153846154",19
44,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",379,0,0,0,65,66,1,"108,3076923077","83,6363636364",115
45,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",400,0,0,0,65,67,0,"83,9230769231","89,552238806",0
46,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",376,0,0,0,65,65,2,94,"84,8923076923",50
47,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",332,0,0,0,65,66,1,"88,9384615385","90,1515151515",72
48,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",465,0,0,0,63,69,0,"99,3333333333","84,9275362319",0
49,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",405,0,0,0,63,69,0,"102,1904761905","96,1884057971",0
50,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",374,0,0,0,66,65,1,"105,9848484848","74,6769230769",192
51,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",487,0,0,0,64,68,0,"94,3125","94,3235294118",0
52,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",371,0,0,0,66,66,0,"94,7272727273","87,8787878788",0
53,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",429,0,0,0,63,67,2,"91,2698412698","80,7910447761",111
54,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",370,0,0,0,65,67,0,"97,2769230769","96,223880597",0
55,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",500,1,0,0,64,66,1,"92,3333333333","81,3333333333",37
56,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",500,1,0,0,65,65,1,"110,2070707071","87,2",124
57,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",300,0,0,0,65,66,1,"85,4307692308","92,4696969697",175
58,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",393,0,0,0,65,67,0,"93,5692307692","91,7910447761",0
59,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",400,0,0,0,64,68,0,"94,90625","96,1470588235",0
60,500,0,15,50,50,66,66,false,true,true,"""normal""",false,"""normal""",500,1,0,0,62,69,0,"94,9417989418","96,231884058",0
