BehaviorSpace results (NetLogo 5.3.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modelo-1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2016 21:16:45:890 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18,18,-18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],nTicks,taxa_bonus,taxa_alimentos,energia_alimentos,energia_inicial_ags,qnt_ag_sociais,qnt_ag_solitarios,SempAvanc?,ComLider?,Agrupar?,taxa_perda_ganho,SeguirLider?,alcance_ags,[step],ticks,count solitarios,count sociais,count lideres,nSolMortos,nSocMortos,nLidMortos,(tmp_vida_solitarios / (qnt_ag_solitarios - nSol2Soc)),(tmp_vida_sociais / (qnt_ag_sociais + nLid2Soc + nSol2Soc - nSoc2Lid)),(tmp_vida_lideres / nSoc2Lid),nSol2Soc,nSoc2Lid,nLid2Soc,nAfastamentos,(nAfastamentos / ticks),nContatos,(nContatos / ticks),nLidContatos,(nLidContatos / ticks)
32,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",435,435,0,0,0,0,98,1,0,139.4795918367347,407,0,1,0,0,0,1894,4.354022988505747,34,0.07816091954022988
33,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,0,1,0,98,0,0,144.39795918367346,540.54468352,0,1,0,0,0,1941,3882,53,106
34,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,2,0,0,96,1,0,140.77551020408163,380,0,1,0,0,0,2099,4198,20,0.04
35,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,0,0,0,98,1,0,132.64285714285714,93,0,1,0,0,0,1638,3276,14,28
36,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,0,0,0,97,2,0,132.61855670103094,51,0,2,0,0,0,1694,3388,4,8
37,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",450,450,0,0,0,0,98,1,0,146.01020408163265,128,0,1,0,0,0,2094,4.653333333333333,8,0.017777777777777778
38,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,3,0,0,95,1,0,158.6734693877551,21,0,1,0,0,0,2086,4172,0,0
39,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,1,0,0,97,1,0,140.41836734693877,225,0,1,0,0,0,1904,3808,17,34
40,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",450,450,0,0,0,0,98,1,0,144.16326530612244,320,0,1,0,0,0,2130,4.733333333333333,33,0.07333333333333333
41,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",400,400,0,0,0,0,98,1,0,136.75510204081633,334,0,1,0,0,0,1820,4.55,26,65
42,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,0,0,0,98,1,0,144.92857142857142,222,0,1,0,0,0,1982,3964,13,26
43,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",400,400,0,0,0,0,98,1,0,139.90816326530611,360,0,1,0,0,0,1959,4.8975,30,75
