BehaviorSpace results (NetLogo 5.3.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modelo-1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2016 11:29:37:493 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18,18,-18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],nTicks,taxa_bonus,taxa_alimentos,energia_alimentos,energia_inicial_ags,qnt_ag_sociais,qnt_ag_solitarios,SempAvanc?,ComLider?,Agrupar?,taxa_perda_ganho,SeguirLider?,alcance_ags,[step],count solitarios,count sociais,count lideres,nSolMortos,nSocMortos,nLidMortos,(tmp_vida_solitarios / (qnt_ag_solitarios - nSol2Soc)),(tmp_vida_sociais / (qnt_ag_sociais + nLid2Soc + nSol2Soc - nSoc2Lid)),(tmp_vida_lideres / nSoc2Lid),nSol2Soc,nSoc2Lid,nLid2Soc,nAfastamentos,(nAfastamentos / ticks),nContatos,(nContatos / ticks),nLidContatos,(nLidContatos / ticks)
30,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",485,0,0,0,32,33,1,196.0625,137.5151515151515,209,1,1,0,627,1.2927835051546392,368,0.7587628865979381,10,0.020618556701030927
31,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",500,1,0,0,96,34,1,103.1683848797251,83.52941176470588,63,2,1,0,1203,2406,645,1.29,27,54
32,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",391,0,0,0,92,39,1,90.8804347826087,122.7948717948718,17,7,1,0,1160,2.9667519181585678,727,1.8593350383631713,0,0
33,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",364,0,0,0,95,37,0,103.0421052631579,97.08108108108108,0,4,0,0,1338,3.6758241758241756,720,1.978021978021978,0,0
34,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",375,0,0,0,97,34,1,95.62886597938144,83.55882352941177,154,2,1,0,1265,3.3733333333333335,587,1.5653333333333332,50,0.13333333333333333
35,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",376,0,0,0,96,36,0,94.85416666666667,113.75,0,3,0,0,1309,3.481382978723404,737,1.9601063829787233,0,0
36,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",322,0,0,0,97,35,0,100.41237113402062,88.08571428571429,0,2,0,0,1413,4.388198757763975,718,2.229813664596273,0,0
37,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",379,0,0,0,94,38,0,98.11702127659575,92.94736842105263,0,5,0,0,1268,3.345646437994723,812,2.142480211081794,0,0
38,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",337,0,0,0,97,34,1,103.76288659793815,80.79411764705883,42,2,1,0,1358,4.029673590504451,601,1.7833827893175074,6,0.017804154302670624
39,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",384,0,0,0,96,35,1,87.96875,104.57142857142857,147,3,1,0,1186,3.0885416666666665,618,1.609375,18,0.046875
40,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",360,0,0,0,95,37,0,105.41052631578947,97.56756756756756,0,4,0,0,1228,3.411111111111111,697,1.9361111111111111,0,0
41,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",273,0,0,0,97,35,0,94.08247422680412,95.45714285714286,0,2,0,0,1248,4.571428571428571,669,2.4505494505494507,0,0
42,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",255,0,0,0,96,36,0,95.67708333333333,84.80555555555556,0,3,0,0,1131,4.435294117647059,575,2.2549019607843137,0,0
43,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",350,0,0,0,97,35,0,87.58762886597938,82.51428571428572,0,2,0,0,1194,3.4114285714285715,604,1.7257142857142858,0,0
44,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",379,0,0,0,93,38,1,98.6989247311828,99.78947368421052,90,6,1,0,1197,3.158311345646438,656,1.7308707124010554,33,0.0870712401055409
45,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",325,0,0,0,96,36,0,105.16666666666667,81.5,0,3,0,0,1390,4.276923076923077,471,1.4492307692307693,0,0
46,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",299,0,0,0,94,37,1,90.7872340425532,104.54054054054055,81,5,1,0,1423,4.759197324414716,653,2.1839464882943145,14,0.046822742474916385
47,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",323,0,0,0,95,36,1,97.51578947368421,89.66666666666667,4,4,1,0,1189,3.681114551083591,655,2.027863777089783,0,0
48,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",345,0,0,0,94,38,0,98.48936170212765,102.34210526315789,0,5,0,0,1377,3.991304347826087,719,2.084057971014493,0,0
49,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",387,0,0,0,92,40,0,99.1086956521739,94125,0,7,0,0,1143,2.953488372093023,725,1.8733850129198966,0,0
50,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",411,0,0,0,92,40,0,99.56521739130434,82.75,0,7,0,0,1240,3.017031630170316,613,1.491484184914842,0,0
51,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",384,0,0,0,97,34,1,106.50515463917526,99.82352941176471,10,2,1,0,1350,3.515625,721,1.8776041666666667,0,0
52,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",334,0,0,0,97,35,0,100.71134020618557,90.54285714285714,0,2,0,0,1393,4.1706586826347305,717,2.1467065868263475,0,0
53,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",402,0,0,0,96,35,1,95.1875,101.25714285714285,56,3,1,0,1425,3.544776119402985,653,1.6243781094527363,17,0.04228855721393035
54,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",464,0,0,0,92,40,0,89.44565217391305,120.7,0,7,0,0,1194,2.5732758620689653,712,1.5344827586206897,0,0
55,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",417,0,0,0,92,39,1,106.32608695652173,102.23076923076923,19,7,1,0,1210,2.9016786570743407,791,1.8968824940047961,3,0.007194244604316547
56,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",370,0,0,0,95,36,1,93.15789473684211,101.69444444444444,5,4,1,0,1392,3.7621621621621624,611,1.6513513513513514,1,0.002702702702702703
